HH1,HH2,TNLN,TN4,TN5,TN6,TN8,TN9,TN10,TN11,TN12_1,TN12_2,TN12_3,TN12_4,TN2,HH6,HH7,helevel,hhweight,wscore,windex5,wscoreu,windex5u,wscorer,windex5r
12,12,1,2,11,25, , , ,2, , , , ,2,1,0,4,1.0820856604423434,1.5565984042360506,5,1.1295079943449549,5, , 
12,12,2,2,98,95,8,2, ,2, , , , ,2,1,0,4,1.0820856604423434,1.5565984042360506,5,1.1295079943449549,5, , 
12,13,1,2,14,5, , , ,1,1,2,90, ,1,1,0,3,1.0820856604423434,1.3910642863759684,5,0.6264745753839027,4, , 
12,14,1,1,98,12,8,2, ,1,2,5,90, ,1,1,0,3,1.0820856604423434,1.4295049180297874,5,0.7432899039567568,4, , 
12,15,1,1,98,98,2,2, ,2, , , , ,1,1,0,2,1.0820856604423434,1.4389369419277716,5,0.771952413477215,4, , 
12,16,1,9,14,12, , , ,2, , , , ,2,1,0,3,1.0820856604423434,1.4957524645361258,5,0.9446062866316108,5, , 
12,16,2,1,14,12, , , ,2, , , , ,2,1,0,3,1.0820856604423434,1.4957524645361258,5,0.9446062866316108,5, , 
12,17,1,1,13,95, , , ,1,1,2,90, ,1,1,0,4,1.0820856604423434,1.4439483776399982,5,0.787181416856178,4, , 
12,24,1,1,98,95,2,2, ,2, , , , ,1,1,0,4,1.0820856604423434,1.4706268369099067,5,0.8682532632685213,4, , 
13,3,1,1,98,95,2,2, ,2, , , , ,2,1,0,3,1.1601826165903395,1.480097101653942,5,0.897031980998996,5, , 
13,3,2,1,98,95,2,2, ,1,3,4,90, ,2,1,0,3,1.1601826165903395,1.480097101653942,5,0.897031980998996,5, , 
13,4,1,1,98,3,8,2, ,1,2,90, , ,1,1,0,2,1.1601826165903395,0.7931092697771296,4,-1.1906212612512432,1, , 
13,8,1,1,12,5, , , ,2, , , , ,2,1,0,1,1.1601826165903395,1.440024814669151,5,0.775258295983885,4, , 
13,8,2,1,12,5, , , ,1,3,4,5,90,2,1,0,1,1.1601826165903395,1.440024814669151,5,0.775258295983885,4, , 
13,9,1,1,98,18,2,2, ,1,1,2,4,90,1,1,0,3,1.1601826165903395,1.1087197680329113,5,-0.2315281748833838,3, , 
13,12,1,2,98,3,8,2, ,2, , , , ,2,1,0,3,1.1601826165903395,1.3546894062305181,5,0.5159367565921863,4, , 
